,acc,epoch,loss,val_acc,val_loss
0,0.5,0.0,0.7171113774180412,0.4921875,0.7031856715679169
0,0.4953125,1.0,0.7174261756241321,0.5140625,0.7019623205065727
0,0.51015625,2.0,0.702609883248806,0.496875,0.7021056950092316
0,0.521875,3.0,0.6981173977255821,0.509375,0.7016502648591996
0,0.54453125,4.0,0.6923603512346744,0.5296875,0.6920654281973839
0,0.53125,5.0,0.6879871912300587,0.4984375,0.6980871319770813
0,0.54921875,6.0,0.6854998335242272,0.540625,0.6870495155453682
0,0.56171875,7.0,0.6853256121277809,0.5296875,0.6953496754169464
0,0.57109375,8.0,0.680914431065321,0.515625,0.7009860888123512
0,0.5640625,9.0,0.6771700821816922,0.521875,0.6956599414348602
0,0.584375,10.0,0.6724551744759083,0.54375,0.6926177442073822
0,0.5796875,11.0,0.6716220319271088,0.5375,0.687753377854824
0,0.5875,12.0,0.6665878430008888,0.4953125,0.6945625752210617
0,0.60546875,13.0,0.6629836082458496,0.5359375,0.6896233856678009
0,0.59609375,14.0,0.6622815869748593,0.553125,0.6858044788241386
0,0.5921875,15.0,0.6668054960668087,0.51875,0.6929609507322312
0,0.59765625,16.0,0.6629918299615383,0.5609375,0.6826027527451515
0,0.5921875,17.0,0.6642995253205299,0.51875,0.7035516113042831
0,0.61484375,18.0,0.6513269320130348,0.51875,0.695731769502163
0,0.615625,19.0,0.6559290803968907,0.5375,0.6931121185421943
0,0.63515625,20.0,0.6501773349940777,0.55,0.69009118527174
0,0.62109375,21.0,0.6551128081977368,0.54375,0.688575093448162
0,0.61484375,22.0,0.6521584555506706,0.54375,0.6899863705039024
0,0.61875,23.0,0.6466716758906841,0.5609375,0.6855023801326752
0,0.64765625,24.0,0.6450211137533188,0.5546875,0.6785281509160995
0,0.61640625,25.0,0.6521937437355518,0.55,0.6825574323534965
0,0.6265625,26.0,0.6512643650174141,0.56875,0.6843333452939987
0,0.64140625,27.0,0.6412043206393718,0.5546875,0.679198668897152
0,0.63359375,28.0,0.6426071621477604,0.575,0.6804189413785935
0,0.640625,29.0,0.6358054809272289,0.56875,0.6822904482483864
0,0.62890625,30.0,0.6431776382029056,0.54375,0.6967640429735183
0,0.64375,31.0,0.636497613787651,0.5296875,0.6914339706301689
0,0.63671875,32.0,0.6359054446220398,0.528125,0.6922016710042953
0,0.64296875,33.0,0.6425266072154046,0.5421875,0.6867930069565773
0,0.6515625,34.0,0.6284379709511996,0.553125,0.6966942191123963
0,0.6453125,35.0,0.6305902950465679,0.546875,0.6829614564776421
0,0.65,36.0,0.6326749667525291,0.540625,0.6786150202155113
0,0.65703125,37.0,0.6288419499993324,0.5609375,0.6761842533946038
0,0.659375,38.0,0.6209368616342544,0.55,0.6944986402988433
0,0.671875,39.0,0.6183962851762772,0.5515625,0.6896657302975655
0,0.6390625,40.0,0.6357195783406496,0.5328125,0.697791762650013
0,0.6671875,41.0,0.6180179845541716,0.5671875,0.689900104701519
0,0.64609375,42.0,0.632515549659729,0.5328125,0.6952020153403282
0,0.64921875,43.0,0.6300425950437785,0.5671875,0.6780130296945572
0,0.66484375,44.0,0.6178193710744381,0.525,0.6933834239840507
0,0.6453125,45.0,0.6277182158082724,0.5640625,0.6909421518445015
0,0.665625,46.0,0.6183651052415371,0.553125,0.6896097928285598
0,0.64453125,47.0,0.6279547497630119,0.5640625,0.6792736262083053
0,0.66171875,48.0,0.6187667302787304,0.5640625,0.6935121133923531
0,0.64453125,49.0,0.6238722197711468,0.5625,0.6838792398571968
0,0.6671875,50.0,0.6190738987177611,0.5453125,0.6948285505175591
0,0.6578125,51.0,0.6235735002905131,0.5390625,0.7036589935421944
0,0.665625,52.0,0.6172449126839638,0.5609375,0.6911839544773102
0,0.6796875,53.0,0.6096454616636038,0.575,0.6803046464920044
0,0.68125,54.0,0.616119272261858,0.5203125,0.7008762866258621
0,0.6546875,55.0,0.6148126501590013,0.5515625,0.6765087991952896
0,0.65859375,56.0,0.6145775239914656,0.55,0.69388847053051
0,0.67890625,57.0,0.6033416483551264,0.5296875,0.6967006534337997
0,0.68359375,58.0,0.6067781813442708,0.5546875,0.6831029206514359
0,0.69375,59.0,0.6000456236302852,0.5921875,0.6714090019464493
0,0.68046875,60.0,0.5986124701797962,0.5265625,0.6926210179924965
0,0.6671875,61.0,0.6073372166603803,0.565625,0.6869557946920395
0,0.66015625,62.0,0.6127480179071426,0.5578125,0.6835193127393723
0,0.6734375,63.0,0.6107154712080956,0.5640625,0.6786990940570832
0,0.6734375,64.0,0.6119062129408122,0.56875,0.7072004780173302
0,0.690625,65.0,0.5977566964924336,0.5734375,0.6986494570970535
