,acc,epoch,loss,val_acc,val_loss
0,0.84375,0,0.46403174102306366,1.0,0.309313103556633
0,1.0,1,0.12154005840420723,1.0,0.12941262125968933
0,1.0,2,0.04787428770214319,1.0,0.07670630887150764
0,1.0,3,0.027069043833762407,1.0,0.060113752260804176
0,1.0,4,0.026778406696394086,0.96875,0.0556124672293663
0,1.0,5,0.013954051304608583,0.96875,0.0749245323240757
0,1.0,6,0.011579126119613647,0.9375,0.09815836325287819
0,1.0,7,0.012413280550390482,0.96875,0.07129965350031853
0,1.0,8,0.007835773867554963,0.96875,0.07182608917355537
0,1.0,9,0.008391535957343876,0.96875,0.05138014815747738
0,1.0,10,0.006977377226576209,0.96875,0.05957472696900368
0,1.0,11,0.006218122667632997,1.0,0.03001474402844906
0,1.0,12,0.00742876180447638,0.9375,0.0798720195889473
0,1.0,13,0.0041350515675731,1.0,0.035991392098367214
0,1.0,14,0.005786339635960758,1.0,0.028209088370203972
0,1.0,15,0.0041736961575224996,0.96875,0.04206087067723274
0,1.0,16,0.004033156088553369,1.0,0.04363269358873367
0,1.0,17,0.003969538433011621,0.96875,0.06713389232754707
0,1.0,18,0.0034465536009520292,1.0,0.030784105882048607
0,1.0,19,0.003525376145262271,0.96875,0.048826923593878746
0,1.0,20,0.003928117046598345,0.96875,0.06517821364104748
0,1.0,21,0.0033514671958982944,1.0,0.040965454652905464
0,1.0,22,0.0046813516528345644,1.0,0.020939738489687443
0,1.0,23,0.0030176139262039214,0.96875,0.05481910612434149
0,1.0,24,0.003711124008987099,0.9375,0.09996560215950012
0,1.0,25,0.0037805020110681653,0.96875,0.04808710515499115
0,1.0,26,0.004189700644928962,0.96875,0.056175888516008854
0,1.0,27,0.0034495547879487276,1.0,0.01999571453779936
0,1.0,28,0.0022991118021309376,0.9375,0.06471180729568005
0,1.0,29,0.0031075887382030487,0.96875,0.07106521166861057
0,1.0,30,0.002381155383773148,1.0,0.035160358995199203
0,1.0,31,0.0026493503828532994,1.0,0.019726918078958988
0,1.0,32,0.002445008751237765,1.0,0.03897848445922136
