,acc,epoch,loss,val_acc,val_loss
0,0.46875,0,0.7019012272357941,0.46875,0.7374562621116638
0,0.578125,1,0.7403884679079056,0.5625,0.704837292432785
0,0.59375,2,0.6860011518001556,0.53125,0.7128844261169434
0,0.484375,3,0.6988463699817657,0.5,0.7307654619216919
0,0.578125,4,0.6956886798143387,0.375,0.7501926422119141
0,0.59375,5,0.6526868790388107,0.375,0.7992994785308838
0,0.609375,6,0.7012199908494949,0.4375,0.7467932403087616
0,0.609375,7,0.6813847124576569,0.4375,0.7536721527576447
0,0.453125,8,0.7233147323131561,0.53125,0.6796258091926575
0,0.484375,9,0.6719926446676254,0.53125,0.6919810771942139
0,0.53125,10,0.6856599748134613,0.34375,0.7495850622653961
0,0.71875,11,0.6316081881523132,0.5,0.6971651315689087
0,0.5625,12,0.6582396328449249,0.40625,0.6976470053195953
0,0.5,13,0.690443217754364,0.5,0.7348170876502991
0,0.609375,14,0.67111636698246,0.5625,0.6788958609104156
0,0.671875,15,0.6357614547014236,0.625,0.6611144840717316
0,0.484375,16,0.7250435203313828,0.375,0.7694762945175171
0,0.625,17,0.66261126101017,0.5625,0.6920138895511627
0,0.53125,18,0.6894271820783615,0.5625,0.6737029850482941
0,0.515625,19,0.660962849855423,0.59375,0.6755386888980865
0,0.5,20,0.6875573843717575,0.40625,0.7850213646888733
0,0.703125,21,0.6193049252033234,0.4375,0.736059695482254
0,0.578125,22,0.7072362899780273,0.40625,0.773493081331253
0,0.515625,23,0.733000248670578,0.375,0.7740468382835388
0,0.5625,24,0.6905389726161957,0.4375,0.6963756382465363
0,0.609375,25,0.6626239866018295,0.5625,0.7092566192150116
0,0.640625,26,0.6521006077528,0.4375,0.7428323328495026
0,0.578125,27,0.6857784241437912,0.46875,0.7615469694137573
0,0.5625,28,0.6838430017232895,0.625,0.6744345128536224
0,0.5625,29,0.708616241812706,0.625,0.702559232711792
0,0.484375,30,0.6840766370296478,0.5625,0.6882746517658234
0,0.5625,31,0.6540000140666962,0.46875,0.7103136777877808
0,0.578125,32,0.7092792391777039,0.40625,0.7322241365909576
0,0.625,33,0.6360102742910385,0.375,0.7579045593738556
0,0.640625,34,0.6234510540962219,0.4375,0.7968347370624542
0,0.6875,35,0.6179368942975998,0.53125,0.7100852429866791
0,0.609375,36,0.6239710748195648,0.59375,0.7624841034412384
0,0.640625,37,0.6483816504478455,0.46875,0.7341570556163788
0,0.609375,38,0.6359672546386719,0.5,0.7379721999168396
0,0.578125,39,0.6637739092111588,0.375,0.7534273564815521
0,0.734375,40,0.6019250750541687,0.375,0.8060329258441925
0,0.625,41,0.6581807136535645,0.4375,0.746044397354126
0,0.65625,42,0.6480069011449814,0.5625,0.6884115040302277
0,0.640625,43,0.6394667327404022,0.59375,0.7092073857784271
0,0.625,44,0.6241051703691483,0.65625,0.6681255102157593
0,0.609375,45,0.6952793300151825,0.59375,0.7224254012107849
0,0.671875,46,0.6191841810941696,0.53125,0.7332391142845154
0,0.65625,47,0.6303776204586029,0.4375,0.7154184579849243
0,0.640625,48,0.6817718595266342,0.4375,0.7915951013565063
0,0.703125,49,0.607786238193512,0.625,0.6533872783184052
0,0.59375,50,0.643983319401741,0.40625,0.8371635973453522
0,0.640625,51,0.6416143178939819,0.59375,0.6587354838848114
0,0.609375,52,0.6688176840543747,0.5,0.79579296708107
0,0.515625,53,0.6647074222564697,0.34375,0.8018000721931458
0,0.53125,54,0.6851415038108826,0.59375,0.7082957625389099
